,date_only,precipitation_height,sunshine_duration,temperature_air_mean_200
0,2024-09-14,0,1852.5,20.01547619
1,2024-09-15,0.01754385965,1713.333333,21.47083333
2,2024-09-16,0.03684210526,1164.166667,21.49583333
3,2024-09-17,0.5089912281,33.33333333,18.61904762
0,2024-09-18,0,2014.285714,26.45714286
1,2024-09-19,0,1015,22.25833333
2,2024-09-20,0,1232.5,21.85416667
3,2024-09-21,0,632.5,20.09583333
4,2024-09-22,0.2,262.5,17.10416667
5,2024-09-23,0.35,162.5,15.49166667
6,2024-09-24,0.4166666667,192.5,12.875
7,2024-09-25,0.3083333333,335,10.90416667
8,2024-09-26,0.2708333333,315,11.95416667
9,2024-09-27,0.225,565,13.0875
10,2024-09-28,0.1117647059,818.8235294,14.59411765